章	节	题目ID	problemId	uuid	题目名称	难度	额外依赖知识点	大章依赖知识点																				
		2367375	233294	6e13936b6fc54f52ac22efd6c8e7fef3	牛牛的并联电路	4	加减法																					
		308927	21989	933a60dcf63e403d901c75f82e3154db	牛牛学取余	2	无																					
		308928	21990	1c0ce3c9134f45edbcd4343f9d5e320a	整数的个位	3	无																					
		292276	21453	34d3911bf2fd48a285f6396e886a1259	计算带余除法	3	无																					
	位移	292287	21464	35a1e8b18658411388bc1672439de1d9	2的n次方计算	3	无																					
	混合运算	2367592	233306	203ca3114f8845a9bbd673bae6c5dd2b	牛牛的球	4																						
		285087	21310	9db9e3d19cde405ba94db09ed1c5f3f3	明天星期几？	4																						
		618630	54154	60d96b08e1cb42e38629d54e37eac008	班级成绩输入输出	4	浮点数位数控制																					
		308992	22004	ba83647087b7447783fa2384da6b3d44	温度转换	4																						
		308929	21991	031db23916904f4fad72198fe491b47b	整数的十位	4																						
		320950	23140	9df4b80fc3ab475288e5c26972440e1b	(a+b-c)*d的计算问题	4																						
		2367473	233302	f72c56ed71664af082c921bf79861c85	牛牛的线段	4																						
		828859	201525	4ef07b4f80fc4027a4b90e2245f8f637	KiKi算期末成绩	4	浮点数位数控制																					
		308958	21995	b99fa8962ad643baa3cbc17b860f262c	牛牛学梯形	4	浮点数位数控制；[[题目不太好]]																					
		308986	21998	0643671f64014532af121e58c5ae9905	牛牛学矩形	4	[[题目不太好]]																					
		967208	206668	9cc35bd0754f4feca18e10e57c672467	开学？	5																						
		632015	54504	0f855c7642b74cccb3c2366bb7732d2a	小乐乐排电梯	5																						
		292281	21458	c4ae7bcac7f9491b8be82ee516a94899	时间转换	5																						
程序控制	分支控制与逻辑运算	634143	54538	ae6a21920cac4f9184c8ecfcc87f89b9	小乐乐找最大数	3	无	第一个程序：基础输出
基本类型与输入																				
		307546	21931	56513524333148b38945e1989bc7df4e	及格分数	3	无																					
		2368112	233348	51a046c13b3c4b64a07d69903a3cd4cf	牛牛的判断题	3	无																					
		2368477	233392	35d8e3e569dc49f2a1018d1dc9186998	牛牛的金币	4	加减法																					
		2177544	228488	055a92b5c93f497291a58c232f59fae9	计算商品打折结算金额	4	乘法																					
		634144	54539	cc896ffd90d34c7faa318b04e87adf11	小乐乐是否被叫家长	4	加减法；除法与取余																					
		307620	21940	689ec1e742394e09b1059556fc167b65	三角形判断	4	加减法																					
		2368469	233390	41b42e7b3c3547e3acf8e90c41d98270	牛牛的快递	5	加减法；乘法																					
		295418	21591	08b28e61ff6345febf09969b3a167f7e	健康评估	5	乘法；除法与取余																					
		292278	21455	bcaf710fb58a44e1b678a890e6e90d7c	kiki算数	5	加减法；除法与取余																					
		2368397	233378	1fe33d534843473eb086c4b42655e13d	牛牛的通勤	5	加减法；乘法																					
	单层循环控制	352867	25317	b007744eb43b4f7b95d9e87de01528db	N个数之和	5	加减法																					
		352868	25318	e0e4f81dcd55408a8973f8033bbeb1d2	最高分与最低分之差	5	库函数-最大值；库函数-最小值																					
		634146	54541	1654083e09d2432aa24b151d36309155	小乐乐算多少人被请家长	6	加减法；除法与取余																					
		10816557	267415	dcce2d0cc8f740c29e0885df96c9d625	a的翻转	7	加减法；除法与取余																					
	多重循环控制	311079	22206	ff797e49df674c049021e8be2ab026e6	乘法表	6	乘法																					
		320958	23148	0c83231923c541d2aa15861571831ee5	矩阵计算	6	加减法																					
		618633	54157	258fe0c567ac493f9b7bc9d3669d158d	最高身高	6	库函数-最大值																					
	混合控制	352866	25316	3f33889582934a09b4e3ddd3cc976226	统计数据正负个数	4																						
		352869	25319	22e87f8a8d764a6582710f38d1b40c6e	有序序列判断	4																						
		634150	54545	4c49a3a1559141f7a080a48c98cca4cb	小乐乐查找数字	5																						
		310692	22156	0b97367cd2184c12a0e02f7c223aee11	牛牛学数列	5	加减法；乘法																					
		310754	22163	db41a6ce80a646aa9a5eb6252ac2df76	魔法数字变换	5	加减法；乘法；除法与取余																					
		320954	23144	04de8eb0ecab426fa6be3ae99af17210	奇偶统计	5	除法与取余																					
		105636	13276	dc943274e8254a9eb074298fb2084703	水仙花数	6	加减法；乘法																					
		170053	16538	28b2d9f2bf2c48de94a1297ed90e1732	记数问题	7	加减法；除法与取余																					
一维基本类型	一维数组	352865	25315	bb66c27cb7aa48f9ba7d9f88e4068285	逆序输出	4		第一个程序：基础输出
基本类型与输入																				
	字符串																											
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
